fec_id,name,state,district,entity_type,race_group,tracking_tier,source,linked_committee
H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,09,candidate,OH-09,watch,manual,
H6OH01195,"ADAMS, HOLLY",OH,01,candidate,OH-01,watch,manual,
C00654079,AEG PAC,OH,,committee,,watch,manual,
C00903310,ALEA FOR CONGRESS,OH,,committee,,watch,manual,
C00331694,AMERICA WORKS FEDERAL PAC,DC,,committee,,watch,manual,
C00927186,AMERICAN CONSERVATIVE FUND,VA,,committee,,watch,manual,
C00659219,AMERICAN JOBS AND GROWTH PAC,VA,,committee,,watch,manual,
C00916692,AMERICAN MISSION,NV,,committee,,watch,manual,
C00856542,ANTANI FOR CONGRESS,OH,,committee,,watch,manual,
H4OH02172,"ANTANI, NIRAJ JAIMINI",OH,02,candidate,Other OH district,watch,manual,
C00929182,ANTHONY CAMPBELL FOR US,OH,,committee,,watch,manual,
H6OH10139,"BECKETT, JANICE",OH,10,candidate,OH-10,watch,manual,
C00837484,BERNIE MORENO FOR SENATE,OH,,committee,,watch,manual,
H6OH13265,"BRIEM, MARGARET ELIZABETH",OH,13,candidate,OH-13,watch,manual,
H2OH11169,"BROWN, M SHONTEL",OH,11,candidate,Other OH district,watch,manual,
H2OH13033,"BROWN, SHERROD",OH,13,candidate,OH-13,watch,manual,
S6OH00163,"BROWN, SHERROD",OH,00,candidate,OH Senate,in_cycle,manual,C00916288
H6OH09149,"CAMPBELL, ANTHONY BRUCE",OH,09,candidate,OH-09,watch,manual,
C00933432,CAREY COLEMAN FOR CONGRESS,OH,,committee,,in_cycle,manual,
C00779603,CAREY FOR CONGRESS,OH,,committee,,in_cycle,manual,
H2OH15228,"CAREY, MIKE",OH,15,candidate,OH-15,in_cycle,manual,C00779603
H8OH18096,"CAREY, MIKE",OH,18,candidate,Other OH district,watch,manual,
C00494930,"CITIZENS FOR JOSH MANDEL, INC.",OH,,committee,,watch,manual,
C00373001,CITIZENS FOR TURNER,OH,,committee,,in_cycle,manual,
H6OH13307,"COLEMAN, CAREY",OH,13,candidate,OH-13,in_cycle,manual,C00933432
C00913384,COMMITTEE FOR MS ROSEMARY,OH,,committee,,watch,manual,
C00940221,COMMITTEE TO ELECT JANICE BECKETT TO CONGRESS,OH,,committee,,watch,manual,
C00912311,CONROY FOR CONGRESS,OH,,committee,,in_cycle,manual,
H6OH01138,"CONROY, ERIC",OH,01,candidate,OH-01,in_cycle,manual,C00912311
H4OH13153,"COUGHLIN, KEVIN",OH,13,candidate,OH-13,watch,manual,
C00800003,CRAIG RIEDEL FOR OHIO,OH,,committee,,watch,manual,
H0OH01040,"CRANLEY, JOHN J IV",OH,01,candidate,OH-01,watch,manual,
C00600718,DAVIDSON FOR CONGRESS,OH,,committee,,watch,manual,
H6OH08315,"DAVIDSON, WARREN",OH,08,candidate,Other OH district,watch,manual,
C00836221,DEFEND AMERICAN JOBS,VA,,committee,,watch,manual,
C00909630,DEREK MERRIN FOR CONGRESS,OH,,committee,,in_cycle,manual,
H6OH02078,"DEWINE, R. PAT",OH,02,candidate,Other OH district,watch,manual,
C00264697,DIGNITY OF WORK PAC,DC,,committee,,in_cycle,manual,
H6OH13273,"DIXIT, SANDEEP S MR",OH,13,candidate,OH-13,watch,manual,
C00913491,DON LEONARD FOR OHIO,OH,,committee,,in_cycle,manual,
C00912576,ED FITZGERALD FOR CONGRESS,OH,,committee,,watch,manual,
C00810127,ELECT ESRATI V2.0,OH,,committee,,watch,manual,
C00801274,EMILIA SYKES FOR CONGRESS,OH,,committee,,in_cycle,manual,
C00911990,ERBECK FOR OHIO,OH,,committee,,watch,manual,
H6OH01161,"ERBECK, STEVEN",OH,01,candidate,OH-01,watch,manual,
H8OH03098,"ESRATI, DAVID",OH,10,candidate,OH-10,watch,manual,
C00902825,FERREIRA FOR CONGRESS,OH,,committee,,watch,manual,
H6OH01120,"FERREIRA, LINDSEY MARIE",OH,01,candidate,OH-01,watch,manual,
H6OH07143,"FITZGERALD, EDWARD O'DONNELL",OH,07,candidate,OH-07,watch,manual,
C00923508,FRIENDS FOR FOGGIE,OH,,committee,,watch,manual,
C00933895,FRIENDS OF DAMON LYNCH,OH,,committee,,watch,manual,
C00917146,FRIENDS OF FRED ODE,OH,,committee,,watch,manual,
C00941419,FRIENDS OF JASON STOOPS,OH,,committee,,watch,manual,
C00916288,FRIENDS OF SHERROD BROWN,OH,,committee,,in_cycle,manual,
C00347492,FRIENDS OF TIBERI,OH,,committee,,watch,manual,
H6OH09164,"FROST, JACOB THOMAS MR.",OH,09,candidate,OH-09,watch,manual,
H2OH09171,"GAVARONE, THERESA",OH,09,candidate,OH-09,watch,manual,
H4OH02255,"GEORGETON, KIM",OH,02,candidate,Other OH district,watch,manual,
H2OH01202,"GIROUX, JENN",OH,01,candidate,OH-01,watch,manual,
C00230482,"GRASSLEY COMMITTEE, INC.",IA,,committee,,watch,manual,
C00638411,HAGAN FOR CONGRESS,OH,,committee,,watch,manual,
H8OH16108,"HAGAN, CHRISTINA",OH,13,candidate,OH-13,watch,manual,
C00924530,HANCOCK 4 LIBERTY,OH,,committee,,watch,manual,
H6OH01179,"HANCOCK, JOHN DAVID JR",OH,01,candidate,OH-01,watch,manual,
C00896019,HUSTED FOR SENATE,OH,,committee,,in_cycle,manual,
S6OH00304,"HUSTED, JON",OH,00,candidate,OH Senate,in_cycle,manual,C00896019
C00783142,JD VANCE FOR SENATE INC.,OH,,committee,,watch,manual,
C00928374,JOBS AND DEMOCRACY PAC,DC,,committee,,watch,manual,
C00909861,JOSH WILLIAMS FOR OHIO,OH,,committee,,watch,manual,
C00154625,KAPTUR FOR CONGRESS,OH,,committee,,in_cycle,manual,
H2OH09031,"KAPTUR, MARCY HON. M.C.",OH,09,candidate,OH-09,in_cycle,manual,C00154625
C00931600,KEVIN SIEMBIDA FOR CONGRESS,OH,,committee,,watch,manual,
H6OH13281,"KEVIN, SIEMBIDA",OH,13,candidate,OH-13,watch,manual,
H6OH10147,"KINNER, JAN",OH,10,candidate,OH-10,watch,manual,
C00934240,KNICKERBOCKER FOR CONGRESS,OH,,committee,,in_cycle,manual,
H6OH10121,"KNICKERBOCKER, KRISTINA",OH,10,candidate,OH-10,in_cycle,manual,C00934240
C00800276,LANDSMAN FOR CONGRESS,OH,,committee,,in_cycle,manual,
H2OH01194,"LANDSMAN, GREG",OH,01,candidate,OH-01,in_cycle,manual,C00800276
C00916114,LEADING THE FUTURE,NV,,committee,,watch,manual,
H8OH12230,"LETT, CRYSTAL LYNN",OH,12,candidate,Other OH district,watch,manual,
H6OH01187,"LYNCH, DAMON IV",OH,01,candidate,OH-01,watch,manual,
H2OH09155,"MAJEWSKI, J R",OH,09,candidate,OH-09,watch,manual,
H4OH09151,"MAJEWSKI, JR",OH,09,candidate,OH-09,watch,manual,
S2OH00170,"MANDEL, JOSHUA A.",OH,00,candidate,OH Senate,watch,manual,
C00722207,MARK PUKITA FOR US SENATE 2022,OH,,committee,,watch,manual,
C00770818,MAX MILLER FOR CONGRESS,OH,,committee,,in_cycle,manual,
H4OH09169,"MERRIN, DEREK",OH,09,candidate,OH-09,in_cycle,manual,C00909630
C00856823,MILLER FOR AMERICA,OH,,committee,,watch,manual,
H4OH15083,"MILLER, ADAM CLAY",OH,15,candidate,OH-15,watch,manual,
H2OH16051,"MILLER, MAX",OH,07,candidate,OH-07,in_cycle,manual,C00770818
H6OH09115,"NADEEM, ALEA",OH,09,candidate,OH-09,watch,manual,
C00932632,NEIL FOR OHIO,OH,,committee,,watch,manual,
H8OH14087,"O'NEILL, WILLIAM MICHAEL",OH,14,candidate,Other OH district,watch,manual,
H6OH01146,"OGLESBY-HENRY, ROSEMARY",OH,01,candidate,OH-01,watch,manual,
C00934984,OH NC VICTORY FUND 2026,DC,,committee,,watch,manual,
C00916304,OHIO SENATE VICTORY 2026,DC,,committee,,watch,manual,
C90022518,OHIO WORKS,OH,,committee,,watch,manual,
C00683243,OHIOANS FOR A HEALTHY ECONOMY ACTION FUND,OH,,committee,,watch,manual,
H6OH07168,"POINDEXTER, BRIAN",OH,07,candidate,OH-07,in_cycle,manual,C00933366
C00933366,POINDEXTER FOR CONGRESS,OH,,committee,,in_cycle,manual,
H2OH03067,"TURNER, MICHAEL R",OH,10,candidate,OH-10,in_cycle,manual,C00373001
H2OH13264,"SYKES, EMILIA",OH,13,candidate,OH-13,in_cycle,manual,C00801274
H6OH15112,"LEONARD, DON RALPH",OH,15,candidate,OH-15,in_cycle,manual,C00913491
C00896928,TEAM HUSTED (JOINT FUNDRAISING),,,committee,,in_cycle,manual,
C00909994,"FIELD TEAM 6, INC.",,,committee,,watch,ie_discovery,
C00912865,OHIO FLYER PAC,,,committee,,watch,ie_discovery,
C00687103,"AMERICANS FOR PROSPERITY ACTION, INC. (AFP ACTION) DBA CVA ACTION AND DBA LIBRE ACTION",,,committee,,watch,ie_discovery,
C00571703,SLF PAC,,,committee,,watch,ie_discovery,
C00835041,FORWARD BLUE,,,committee,,watch,ie_discovery,
C00802389,GIVEGREEN UNITED ACTION,,,committee,,watch,ie_discovery,
C00640300,ACTIVATE AMERICA,,,committee,,watch,ie_discovery,
C00948000,MAJORITY BLUE PAC,,,committee,,watch,ie_discovery,
C00604496,AMERICANS UNITED FOR VALUES,,,committee,,watch,ie_discovery,
C00902569,OHIO ERIE PAC,,,committee,,watch,ie_discovery,
C00490375,NATIONAL NURSES UNITED FOR PATIENT PROTECTION,,,committee,,watch,ie_discovery,
C00747121,RED SENATE,,,committee,,watch,ie_discovery,
C00912337,RED BRIDGE LEADERSHIP PAC,,,committee,,watch,ie_discovery,
C00820357,JOBS & PROSPERITY PAC,,,committee,,watch,ie_discovery,
C00608943,"CLEARPATH ACTION FUND, INC.",,,committee,,watch,ie_discovery,
C00844613,WIN IT BACK PAC,,,committee,,watch,ie_discovery,
C00678839,INDIVISIBLE ACTION,,,committee,,watch,ie_discovery,
C00483693,SIERRA CLUB INDEPENDENT ACTION,,,committee,,watch,ie_discovery,
C00776419,THE PEOPLE UNITED PAC,,,committee,,watch,ie_discovery,
C00909465,INDIGO PAC,,,committee,,watch,ie_discovery,
C00887729,AMERICAN RESOLVE PAC INC.,,,committee,,watch,ie_discovery,
C00710178,HONORING AMERICAN LAW ENFORCEMENT PAC,,,committee,,watch,ie_discovery,
C00681825,LAW ENFORCEMENT FOR A SAFER AMERICA PAC,,,committee,,watch,ie_discovery,
C00606962,WORKING FAMILIES PARTY PAC,,,committee,,watch,ie_discovery,
C00908707,BDA PAC,,,committee,,watch,ie_discovery,
C00881011,UNITY & JUSTICE FUND,,,committee,,watch,ie_discovery,
